District,Category,Bedroom,Bathroom,Direction,House Status,Verification,Land Area (m2),Land Used Area (m2),Length (m),Width (m),Alley Width (m),Price (bil),Price/m2 (mil),Floor,Have Mezzanine,Have Rooftop,Have Basement,Have Attic,Is Land,Near Market,Near School,Near Hospital,Near Center,Near Frontage,Securities Space,Comfortable Space,Have Car Park,Larger Rear,Alley Surface,Urgent Sale
district-12,"Ban nha khu dan cu Dien Thuan Star Hills Quan 12 - Dan cu an ninh, dan tri cao, yen tinh",4.0,5.0,North,Empty,Pink book,60.7,207.0,13.2,4.66,8.0,5.3,87.3,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
district-12,"Ban nha rieng, hem xe hoi Quan 12 - Gan ngay Vuon Uom Hiep Thanh ",2.0,2.0,South,Living,Pink book,39.9,79.8,14.13,4.0,6.0,4.2,105.3,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
district-12,"Ban nha xuong dang kinh doanh, dien tich lon Quan 12 - Gan ngay khu Cong Nghiep Tan Thoi Hiep",,,South,Living,Pink book,177.8,123.2,23.85,7.66,6.0,6.2,34.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
district-12,Ban nha mat tien duong nhua 10m co le duong Quan 12 - Ngay gan truong Tieu Hoc Le Van Tho ,3.0,3.0,South,Living,Pink book,97.8,257.6,14.08,7.72,,15.5,158.5,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
district-12,"Ban nha cap 4, hem xe hoi Quan 12 - 1km toi cau Ong Dung, 1.4km toi cau Phu Long",1.0,1.0,South,Renting,Pink book,159.5,56.9,33.85,5.0,4.0,4.15,26.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
district-12,"Ban nha 2 mat hem Quan 12 - Cach UBND, Cong an, Tram y te phuong Tan Hung Thuan chi 650m",2.0,2.0,East,Living,Pink book,62.2,84.5,15.78,4.0,3.5,4.2,67.5,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
district-12,"Ban nha no hau, mat tien duong lon Quan 12 - 3 phut den Nga tu An Suong",1.0,1.0,South,Renting,Pink book,102.5,71.6,27.41,2.89,,12.5,122.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district-12,Ban nha rieng mat tien duong lon Quan 12 - Cach Cong vien Phan mem Quang Trung chi 450m,4.0,5.0,South,Empty,Pink book,84.0,214.8,21.0,4.0,,11.0,131.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district-12,"Ban nha rieng hem xe tai Quan 12- Gan Truong Mam Non Xuka, ra duong Ha Huy Giap chi 450m",3.0,2.0,North,Empty,Pink book,114.0,124.5,22.81,5.0,7.0,5.1,44.7,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
district-12,"Ban nha mat tien nhua Quan 12 - Cach duong Le Van Khuong 200m, Metro Hiep Phu 900m",4.0,4.0,North,Living,Pink book,98.7,296.1,24.87,3.97,,7.4,75.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
